鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
淡水區,房地(土地+建物),新北市淡水區新市一路一段121~150號,15.9,住,Missing,Missing,1090221,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020,102.78,3,2,2,有,有,7000000,68107,Missing,0.0,0,Missing,RPOOMLQJMHPFFEF58CA
汐止區,房地(土地+建物)+車位,新北市汐止區林森街73巷1~30號,79.41,Missing,鄉村區,乙種建築用地,1090223,土地3建物1車位1,十六層，十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820729,341.26,4,2,3,有,有,22380000,65579,坡道平面,0.0,0,含增建或未登記建物。;,RPXOMLLMLHPFFDF09CA
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷31~60號,11.53,住,Missing,Missing,1090304,土地1建物1車位1,四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,114.55000000000001,2,2,1,有,有,20000000,174596,坡道平面,26.86,0,Missing,RPWOMLLMLHPFFCF88CA
林口區,房地(土地+建物)+車位,新北市林口區民富街91~120號,9.48,商,Missing,Missing,1081120,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960705,114.60000000000001,3,2,2,有,有,8350000,72862,坡道機械,25.34,0,Missing,RPPOMLTJMHPFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段447巷31~60號,13.73,住,Missing,Missing,1090210,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961023,112.96000000000001,2,2,1,有,有,9900000,87642,坡道平面,21.02,0,Missing,RPPOMLSJMHPFFBF58CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路417巷1~30號,20.13,商,Missing,Missing,1090305,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951221,227.67000000000002,3,2,2,有,有,23200000,101902,坡道平面,29.08,0,Missing,RPXPMLRJMHPFFBF76CA
板橋區,房地(土地+建物)+車位,新北市板橋區南雅南路二段91~120號,19.32,住,Missing,Missing,1090311,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,183.1,3,2,2,有,有,29800000,162753,坡道平面,36.97,0,Missing,RPROMLOLMHPFFAF48CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,1.85,住,Missing,Missing,1090305,土地1建物1車位0,七層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,55.760000000000005,1,1,1,有,有,7700000,138092,Missing,0.0,0,Missing,RPXNMLNKMHPFFAF78CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.6,住,Missing,Missing,1090318,土地1建物1車位0,十四層,四十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,50.730000000000004,1,1,1,有,有,10400000,205007,Missing,0.0,0,含增建或未登記建物。;,RPPSMLRJMHPFFAF78CA
土城區,房地(土地+建物)+車位,新北市土城區學府路二段1~30號,32.76,住,Missing,Missing,1090207,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,203.76999999999998,3,2,2,有,有,22180000,108848,坡道平面,32.39,0,含增建或未登記建物。;,RPSQMLLMLHPFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街301~330號,17.43,住,Missing,Missing,1090119,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,203.43,4,2,2,有,有,21400000,105196,坡道平面,39.1,0,含增建或未登記建物。;,RPWNMLLJMHPFFAF38CA
